Год,Акции РФ,Гос. облигации РФ,Депозиты в рублях (до года),Доллар США,Золото,Bytcoin
2003,41.69%,14.05%,0.10%,-17.25%,-0.71%,
2004,-5.93%,-0.75%,-1.55%,-15.68%,-12.82%,
2005,64.02%,0.65%,-1.10%,-6.49%,7.99%,
2006,53.24%,-1.89%,-0.64%,-16.07%,2.52%,
2007,-1.30%,-4.06%,-3.91%,-16.67%,8.12%,
2008,-71.81%,-16.63%,-5.54%,5.66%,7.73%,
2009,104.76%,24.38%,0.83%,-5.39%,19.11%,
2010,13.03%,2.18%,3.85%,-7.36%,16.71%,
2011,-21.17%,-0.29%,2.03%,-0.43%,9.61%,
2012,0.05%,7.58%,2.76%,-11.48%,-7.82%,
2013,-2.13%,-2.51%,2.99%,1.21%,-28.09%,
2014,-13.72%,-23.09%,-2.73%,54.37%,52.10%,-89.53%
2015,14.99%,14.74%,2.14%,14.74%,0.17%,40.16%
2016,23.74%,8.95%,4.37%,-21.03%,-15.13%,98.71%
2017,-4.59%,10.03%,5.75%,-7.36%,2.14%,1233.04%
2018,12.09%,-2.05%,2.86%,15.68%,12.77%,-84.45%
2019,32.09%,16.50%,4.40%,-13.48%,1.34%,82.19%
2020,7.37%,3.54%,0.97%,13.75%,38.39%,342.39%
2021,10.25%,-12.30%,-3.60%,-7.22%,-11.40%,83.50%
2022,-45.51%,-7.34%,-3.75%,-15.42%,-17.07%,-68.53%
2023,40.79%,-6.20%,0.66%,18.70%,33.29%,303.43%
