Год,Акции РФ,Депозиты в рублях (до года),Доллар США,Золото,Bytcoin
2003,42.69%,0.10%,-17.25%,-0.26%,
2004,-4.93%,-1.55%,-15.68%,-12.37%,
2005,65.02%,-1.10%,-6.49%,8.44%,
2006,54.24%,-0.64%,-16.07%,2.97%,
2007,-0.30%,-3.91%,-16.67%,8.57%,
2008,-70.81%,-5.54%,5.66%,8.18%,
2009,105.76%,0.83%,-5.39%,19.56%,
2010,14.03%,3.85%,-7.36%,17.16%,
2011,-20.17%,2.03%,-0.43%,10.06%,
2012,1.05%,2.76%,-11.48%,-7.37%,
2013,-1.13%,2.99%,1.21%,-27.64%,
2014,-12.72%,-2.73%,54.37%,52.55%,-89.53%
2015,15.99%,2.14%,14.74%,0.62%,40.16%
2016,24.74%,4.37%,-21.03%,-14.68%,98.71%
2017,-3.59%,5.75%,-7.36%,2.59%,1233.04%
2018,13.09%,2.86%,15.68%,13.22%,-84.45%
2019,33.09%,4.40%,-13.48%,1.79%,82.19%
2020,8.37%,0.97%,13.75%,38.84%,342.39%
2021,11.25%,-3.60%,-7.22%,-10.95%,83.50%
2022,-44.51%,-3.75%,-15.42%,-16.62%,-68.53%
2023,41.79%,0.66%,18.70%,33.74%,303.43%
