Год,Акции РФ,Депозиты в рублях (до года),Золото,Bytcoin
2003,41.69%,0.10%,-0.71%,
2004,-5.93%,-1.55%,-12.82%,
2005,64.02%,-1.10%,7.99%,
2006,53.24%,-0.64%,2.52%,
2007,-1.30%,-3.91%,8.12%,
2008,-71.81%,-5.54%,7.73%,
2009,104.76%,0.83%,19.11%,
2010,13.03%,3.85%,16.71%,
2011,-21.17%,2.03%,9.61%,
2012,0.05%,2.76%,-7.82%,
2013,-2.13%,2.99%,-28.09%,
2014,-13.72%,-2.73%,52.10%,-89.53%
2015,14.99%,2.14%,0.17%,40.16%
2016,23.74%,4.37%,-15.13%,98.71%
2017,-4.59%,5.75%,2.14%,1233.04%
2018,12.09%,2.86%,12.77%,-84.45%
2019,32.09%,4.40%,1.34%,82.19%
2020,7.37%,0.97%,38.39%,342.39%
2021,10.25%,-3.60%,-11.40%,83.50%
2022,-45.51%,-3.75%,-17.07%,-68.53%
2023,40.79%,0.66%,33.29%,303.43%
