Год,Акции РФ,Депозиты в рублях (до года),Золото,Bytcoin
2003,41.69%,0.10%,-0.95%,
2004,-5.93%,-1.55%,-13.06%,
2005,64.02%,-1.10%,7.75%,
2006,53.24%,-0.64%,2.28%,
2007,-1.30%,-3.91%,7.88%,
2008,-71.81%,-5.54%,7.49%,
2009,104.76%,0.83%,18.87%,
2010,13.03%,3.85%,16.47%,
2011,-21.17%,2.03%,9.37%,
2012,0.05%,2.76%,-8.06%,
2013,-2.13%,2.99%,-28.33%,
2014,-13.72%,-2.73%,51.86%,-89.53%
2015,14.99%,2.14%,-0.07%,40.16%
2016,23.74%,4.37%,-15.37%,98.71%
2017,-4.59%,5.75%,1.90%,1233.04%
2018,12.09%,2.86%,12.53%,-84.45%
2019,32.09%,4.40%,1.10%,82.19%
2020,7.37%,0.97%,38.15%,342.39%
2021,10.25%,-3.60%,-11.64%,83.50%
2022,-45.51%,-3.75%,-17.31%,-68.53%
2023,40.79%,0.66%,33.05%,303.43%
